schedule_type,threads_number,block_sizes(bytes),iteration,compile_time(s),decompile_time(s)
sequential,0,0,1,20.5051,1.17516
dynamic,1,1000,1,19.8683,3.86211
dynamic,1,10000,1,19.4296,3.91894
dynamic,1,100000,1,25.45,3.59764
dynamic,1,1000000,1,26.5178,3.81703
static,1,1000,1,25.6486,3.70512
static,1,10000,1,15.2635,3.20317
static,1,100000,1,18.9215,2.94075
static,1,1000000,1,24.078,5.83346
guided,1,1000,1,29.2407,4.52434
guided,1,10000,1,17.6131,3.42479
guided,1,100000,1,25.9652,3.33167
guided,1,1000000,1,20.1113,3.32572
dynamic,2,1000,1,12.0482,3.07445
dynamic,2,10000,1,9.77441,3.53828
dynamic,2,100000,1,14.9393,7.07016
dynamic,2,1000000,1,14.2269,3.14955
static,2,1000,1,14.4287,3.42502
static,2,10000,1,11.1738,2.97685
static,2,100000,1,13.9604,2.87108
static,2,1000000,1,14.8745,2.89524
guided,2,1000,1,14.0226,2.87696
guided,2,10000,1,9.15429,2.70255
guided,2,100000,1,10.956,2.67651
guided,2,1000000,1,14.1147,2.72352
dynamic,4,1000,1,7.33253,2.87276
dynamic,4,10000,1,5.83865,2.9666
dynamic,4,100000,1,6.69309,2.6431
dynamic,4,1000000,1,7.17687,2.6873
static,4,1000,1,7.38653,2.80439
static,4,10000,1,5.77554,2.68612
static,4,100000,1,6.63552,2.77365
static,4,1000000,1,7.70773,3.70267
guided,4,1000,1,7.3378,2.83604
guided,4,10000,1,5.76023,2.69721
guided,4,100000,1,6.52884,2.67458
guided,4,1000000,1,7.298,2.63185
dynamic,8,1000,1,5.07392,3.05516
dynamic,8,10000,1,4.14298,2.63594
dynamic,8,100000,1,4.63003,2.89876
dynamic,8,1000000,1,4.80282,2.56908
static,8,1000,1,4.99159,2.8695
static,8,10000,1,4.11385,2.62118
static,8,100000,1,4.58705,2.65094
static,8,1000000,1,4.83118,2.48653
guided,8,1000,1,5.03373,2.90458
guided,8,10000,1,4.03377,2.59038
guided,8,100000,1,4.59547,2.57281
guided,8,1000000,1,4.83656,2.52157
dynamic,16,1000,1,3.75554,2.895
dynamic,16,10000,1,3.19816,2.62332
dynamic,16,100000,1,3.60463,2.59189
dynamic,16,1000000,1,3.70464,2.57928
static,16,1000,1,3.85238,2.894
static,16,10000,1,3.36984,2.70789
static,16,100000,1,3.44468,2.57611
static,16,1000000,1,3.68879,2.57115
guided,16,1000,1,3.835,2.97451
guided,16,10000,1,3.58662,2.67217
guided,16,100000,1,3.63761,2.57995
guided,16,1000000,1,3.63959,2.63366
dynamic,32,1000,1,3.91682,3.21293
dynamic,32,10000,1,3.28624,2.69185
dynamic,32,100000,1,3.35054,2.62183
dynamic,32,1000000,1,3.50199,2.57609
static,32,1000,1,3.8893,3.11396
static,32,10000,1,3.18283,2.63495
static,32,100000,1,3.23365,2.5718
static,32,1000000,1,3.50978,2.639
guided,32,1000,1,3.88895,2.9849
guided,32,10000,1,3.24517,2.71253
guided,32,100000,1,3.27583,2.65501
guided,32,1000000,1,3.57523,2.58755
sequential,0,0,2,19.8403,1.23878
dynamic,1,1000,2,20.2134,3.13461
dynamic,1,10000,2,14.838,3.03583
dynamic,1,100000,2,18.2254,2.96752
dynamic,1,1000000,2,19.8036,3.02574
static,1,1000,2,20.5524,3.10384
static,1,10000,2,14.8033,3.19385
static,1,100000,2,18.4063,2.95325
static,1,1000000,2,20.0334,3.02645
guided,1,1000,2,20.2034,3.05756
guided,1,10000,2,14.8443,3.17247
guided,1,100000,2,18.6616,3.01061
guided,1,1000000,2,20.0169,3.13459
dynamic,2,1000,2,12.0268,2.88817
dynamic,2,10000,2,8.99481,2.80575
dynamic,2,100000,2,10.9144,3.00759
dynamic,2,1000000,2,11.5458,2.80143
static,2,1000,2,11.913,2.86653
static,2,10000,2,9.12941,2.72171
static,2,100000,2,10.8118,2.81481
static,2,1000000,2,11.6899,2.65113
guided,2,1000,2,11.9268,2.74896
guided,2,10000,2,9.02798,2.79534
guided,2,100000,2,10.7766,2.67229
guided,2,1000000,2,11.7544,2.86758
dynamic,4,1000,2,7.31457,2.76485
dynamic,4,10000,2,5.72544,2.71268
dynamic,4,100000,2,6.65922,2.62425
dynamic,4,1000000,2,7.16785,2.68279
static,4,1000,2,7.38423,2.90785
static,4,10000,2,5.71605,2.71289
static,4,100000,2,6.74353,2.54513
static,4,1000000,2,7.29736,2.61017
guided,4,1000,2,7.27089,2.79008
guided,4,10000,2,5.85365,2.66926
guided,4,100000,2,6.62172,2.63327
guided,4,1000000,2,7.24353,2.59982
dynamic,8,1000,2,4.96472,2.90671
dynamic,8,10000,2,4.17186,2.65555
dynamic,8,100000,2,4.53708,2.62399
dynamic,8,1000000,2,4.81611,2.58369
static,8,1000,2,4.84291,2.88923
static,8,10000,2,3.97215,2.68317
static,8,100000,2,4.49835,2.61999
static,8,1000000,2,4.88903,2.62492
guided,8,1000,2,5.15034,2.96118
guided,8,10000,2,3.9841,2.66108
guided,8,100000,2,4.43061,2.63888
guided,8,1000000,2,4.87913,2.5931
dynamic,16,1000,2,3.6826,2.89164
dynamic,16,10000,2,3.31279,2.62501
dynamic,16,100000,2,3.85843,2.60779
dynamic,16,1000000,2,3.64163,2.65607
static,16,1000,2,4.40147,2.8831
static,16,10000,2,3.33989,2.85073
static,16,100000,2,3.52773,2.62511
static,16,1000000,2,3.61101,2.61769
guided,16,1000,2,3.87492,2.87762
guided,16,10000,2,3.34062,2.69733
guided,16,100000,2,3.51603,2.66586
guided,16,1000000,2,3.72134,2.50167
dynamic,32,1000,2,3.86481,3.07733
dynamic,32,10000,2,3.20739,2.64964
dynamic,32,100000,2,3.29847,2.61459
dynamic,32,1000000,2,3.40829,2.6078
static,32,1000,2,3.8903,3.28584
static,32,10000,2,3.70081,2.79224
static,32,100000,2,3.56956,3.11762
static,32,1000000,2,3.61559,3.03882
guided,32,1000,2,4.3163,3.53524
guided,32,10000,2,3.40655,3.47917
guided,32,100000,2,3.25626,2.60039
guided,32,1000000,2,4.01735,2.61817
sequential,0,0,3,19.7949,1.17834
dynamic,1,1000,3,19.9301,3.63202
dynamic,1,10000,3,14.7879,3.10115
dynamic,1,100000,3,18.3995,3.27597
dynamic,1,1000000,3,19.7979,3.0606
static,1,1000,3,20.753,3.52035
static,1,10000,3,15.1198,3.25478
static,1,100000,3,18.2113,2.95551
static,1,1000000,3,19.7559,3.35557
guided,1,1000,3,20.4059,5.82231
guided,1,10000,3,16.9427,5.10147
guided,1,100000,3,20.7268,4.99112
guided,1,1000000,3,23.6447,5.90076
dynamic,2,1000,3,13.8311,3.26901
dynamic,2,10000,3,9.39894,3.88665
dynamic,2,100000,3,10.9906,2.76948
dynamic,2,1000000,3,14.539,3.19473
static,2,1000,3,12.6775,3.13854
static,2,10000,3,9.12418,8.71868
static,2,100000,3,11.0374,4.56131
static,2,1000000,3,12.8808,5.6529
guided,2,1000,3,12.314,2.861
guided,2,10000,3,9.45251,3.24606
guided,2,100000,3,10.8351,2.80035
guided,2,1000000,3,11.9724,3.14336
dynamic,4,1000,3,7.66715,3.14085
dynamic,4,10000,3,5.89653,3.61353
dynamic,4,100000,3,6.92543,2.69392
dynamic,4,1000000,3,9.07509,2.67484
static,4,1000,3,8.57992,3.40599
static,4,10000,3,7.60317,3.57401
static,4,100000,3,10.3916,3.8262
static,4,1000000,3,7.72619,3.19126
guided,4,1000,3,10.621,2.78254
guided,4,10000,3,6.0797,3.47259
guided,4,100000,3,6.94597,2.80396
guided,4,1000000,3,7.60753,3.59065
dynamic,8,1000,3,5.59489,4.9783
dynamic,8,10000,3,4.87897,3.14719
dynamic,8,100000,3,4.58902,3.01339
dynamic,8,1000000,3,5.04516,2.77395
static,8,1000,3,10.3905,3.06268
static,8,10000,3,6.03869,2.65809
static,8,100000,3,9.15532,3.77465
static,8,1000000,3,5.03391,2.86435
guided,8,1000,3,6.07283,3.75959
guided,8,10000,3,7.94086,5.09399
guided,8,100000,3,6.37022,3.03505
guided,8,1000000,3,5.27792,3.4576
