schedule_type,threads_number,block_sizes(bytes),iteration,compile_time(s),decompile_time(s)
sequential,0,0,1,21.3489,1.15752
dynamic,1,1000,1,21.4228,5.2621
dynamic,1,10000,1,23.9103,9.08035
dynamic,1,100000,1,27.2634,12.748
dynamic,1,1000000,1,21.631,3.88855
static,1,1000,1,23.54,4.94668
static,1,10000,1,17.1864,11.3081
static,1,100000,1,20.5092,10.0029
static,1,1000000,1,30.1806,3.68078
guided,1,1000,1,23.6659,3.8299
guided,1,10000,1,16.2688,5.40228
guided,1,100000,1,25.069,9.13058
guided,1,1000000,1,24.6134,3.89738
dynamic,2,1000,1,26.5921,7.41316
dynamic,2,10000,1,9.94944,3.86935
dynamic,2,100000,1,11.628,4.10091
dynamic,2,1000000,1,14.4846,3.90404
static,2,1000,1,14.1473,8.8212
static,2,10000,1,14.9204,12.8026
static,2,100000,1,18.7448,11.6192
static,2,1000000,1,18.1057,6.87433
guided,2,1000,1,12.8138,3.35318
guided,2,10000,1,11.5493,3.57931
guided,2,100000,1,12.6556,5.04904
guided,2,1000000,1,14.7739,8.78379
dynamic,4,1000,1,12.6528,8.41743
dynamic,4,10000,1,8.65658,8.62208
dynamic,4,100000,1,10.9879,8.29341
dynamic,4,1000000,1,10.9616,3.13436
static,4,1000,1,10.6256,4.58147
static,4,10000,1,11.3054,3.47827
static,4,100000,1,15.095,8.02628
static,4,1000000,1,9.54732,4.09159
guided,4,1000,1,9.5193,4.10525
guided,4,10000,1,7.21656,6.45208
guided,4,100000,1,12.1891,8.38983
guided,4,1000000,1,11.3739,6.09564
dynamic,8,1000,1,7.52368,7.08578
dynamic,8,10000,1,6.10265,11.7809
dynamic,8,100000,1,7.59971,6.93832
dynamic,8,1000000,1,6.1433,7.66316
static,8,1000,1,12.013,4.3312
static,8,10000,1,4.98366,3.69634
static,8,100000,1,5.44226,3.20082
static,8,1000000,1,6.28742,4.24534
guided,8,1000,1,6.87966,4.05927
guided,8,10000,1,5.17657,3.64694
guided,8,100000,1,7.01221,11.2493
guided,8,1000000,1,7.2752,7.08617
