schedule_type,threads_number,block_sizes(bytes),compile_time(s),compile_time(s)_std,decompile_time(s),decompile_time(s)_std
dynamic,1,1000,1.273933247073802,21.21546,1.2993913777495987,4.361848
dynamic,1,10000,3.649779453884851,17.77568,2.4991042150698712,4.753774
dynamic,1,100000,5.904803743309341,24.81122,4.100473904818807,7.06829
dynamic,1,1000000,4.006081743424615,23.6494,1.5243119315054914,4.491154
dynamic,2,1000,6.764241155295988,17.53898,2.6589351386936837,5.651473999999999
dynamic,2,10000,2.2945109538461566,11.318808,2.4344728790397316,5.358176
dynamic,2,100000,3.61607042146582,14.180359999999999,1.7453626884346989,5.034244
dynamic,2,1000000,2.2947593446808328,14.299100000000001,2.577189612731279,5.547222
dynamic,4,1000,2.1156571617892146,9.178044,2.2553279851320958,6.715838
dynamic,4,10000,4.226836655027019,9.941596,3.2855704903532357,6.402894000000001
dynamic,4,100000,6.375560701888893,11.622168,2.6442206359057856,6.3325000000000005
dynamic,4,1000000,2.430585547410335,10.189076,3.7615735099649457,5.019618
dynamic,8,1000,1.3434272625341492,6.425832,1.7588564499327393,4.3334220000000006
dynamic,8,10000,1.248683028546476,5.154496,3.6554983973228605,5.709564
dynamic,8,100000,1.3638861240294218,5.595368,2.00965014713258,4.064648
dynamic,8,1000000,0.7074380648509099,5.8084299999999995,2.1159242107717375,3.974526
dynamic,16,1000,3.7302570769157444,6.671425999999999,4.868779891906184,5.660894000000001
dynamic,16,10000,4.940691533972749,6.159722,2.8560486510824705,4.2978000000000005
dynamic,16,100000,2.075570551217183,5.177576,2.0214299480318383,4.19639
dynamic,16,1000000,2.1585518557982337,6.525072,1.8262223891875822,3.7697879999999997
dynamic,32,1000,4.083044065702696,6.128408,4.183265558928813,5.5068980000000005
dynamic,32,10000,5.852045401868478,7.443703999999999,3.82326374005247,5.59818
dynamic,32,100000,3.993746551090843,6.3445599999999995,1.5608406669644406,3.9553800000000003
dynamic,32,1000000,3.701732027352871,10.357454,1.5781461903828808,4.088842
guided,1,1000,4.963745619187188,23.99388,1.9665747053392097,4.6915260000000005
guided,1,10000,4.059256845162671,17.2742,1.6365501458342175,5.094706
guided,1,100000,4.571076390413968,22.97598,3.4079703404856683,6.331676
guided,1,1000000,3.6038575702988043,23.81188,1.9485066576945533,4.5218739999999995
guided,2,1000,4.062481916636677,15.145439999999999,2.4738046395724136,4.985107999999999
guided,2,10000,5.019677081434621,14.440376,3.9951396716422822,5.257006
guided,2,100000,1.1077508420217974,12.882660000000001,1.4425079577146187,4.320107999999999
guided,2,1000000,1.5445010220132585,13.66152,2.3704135266066975,4.858372
guided,4,1000,1.7909677235422201,9.032772,1.8844937884296673,4.346134
guided,4,10000,1.9795141027737084,7.033984000000001,2.061685730895958,4.470966
guided,4,100000,4.07050433036006,9.636534000000001,2.627852464479313,4.517198
guided,4,1000000,2.1306212433184832,9.108734,1.497094699165688,3.638512
guided,8,1000,1.0327550697672707,5.849566,0.6427300201095322,3.48339
guided,8,10000,0.9180752352993732,4.970822,0.6744171718454387,3.189326
guided,8,100000,1.0695471844570483,5.389396,3.646495615194128,4.879646
guided,8,1000000,1.0449981480605597,5.98061,1.8659941817835337,3.8553699999999997
guided,16,1000,0.5426450068414895,4.43275,0.7661210575881595,3.525484
guided,16,10000,0.6250503017117908,3.9562820000000003,0.8128620244850908,3.31798
guided,16,100000,0.7117689282836108,4.314432,0.7235732235717408,3.243378
guided,16,1000000,2.705124263162415,6.5463000000000005,2.2157837586890103,4.035197999999999
guided,32,1000,1.9207315999457082,5.210186,0.5298028749166998,3.525452
guided,32,10000,0.921835922455835,4.163194,0.756041770856611,3.570964
guided,32,100000,0.44958769055658143,3.9232,1.5543249277033422,3.736504
guided,32,1000000,3.2997231805607576,9.719454,2.8560723641182477,4.693406
sequential,0,0,4.200661993662428,23.5746,1.0921591628833225,1.9096719999999998
static,1,1000,2.488779427751684,23.102899999999998,0.9787260812045419,4.161884
static,1,10000,5.265610075955112,18.36958,3.74957976574709,6.73935
static,1,100000,4.373649208955836,22.263460000000002,2.9406783835485983,5.7354080000000005
static,1,1000000,4.1895002008592845,24.067559999999997,1.0038294296492807,4.583036
static,2,1000,3.6995796567988646,15.50782,3.112727457772363,5.788168
static,2,10000,4.438725511707161,13.171774,3.5705710813495926,6.727358
static,2,100000,2.9630181037246466,14.291640000000001,3.5588522970291985,5.950788
static,2,1000000,2.311108459808844,14.70224,3.681143933708651,6.218686
static,4,1000,2.717631194739272,10.034502,1.3351456337044283,4.92984
static,4,10000,2.4568507144981355,8.702895999999999,1.317211555312965,4.17439
static,4,100000,3.3430979422386056,9.70344,2.1358595016058524,4.6183
static,4,1000000,0.9538534004604693,8.094052,0.7676806707088567,3.2417160000000003
static,8,1000,4.084122623095443,9.158956,1.5935815949081493,4.232356
static,8,10000,2.5917783640620193,6.0043619999999995,1.7158038020123396,3.8988500000000004
static,8,100000,2.2708427178913118,6.62035,3.101627693668278,4.256356
static,8,1000000,1.4840198988052686,6.37544,0.737291825161516,3.4140499999999996
static,16,1000,2.785927159604142,5.578082,1.665313526147554,4.025568
static,16,10000,4.070768830119195,5.537552,2.271258534414345,4.01466
static,16,100000,0.8022390868874439,4.176324,0.6409655666804576,3.286862
static,16,1000000,0.5657303654745781,5.245042,0.6885403476703454,3.169648
static,32,1000,2.199794090507109,7.203914,2.017466164169798,5.689648
static,32,10000,2.623243801387893,5.464272,0.6956752704171681,3.8395479999999997
static,32,100000,1.0897164699682207,5.999102,1.4648114683910693,4.942734
static,32,1000000,1.5470857625160925,10.275774,1.806329922168152,4.345758
