
schedule_type,threads_number,block_sizes(bytes),iteration,compile_time(s),decompile_time(s)
sequential,0,0,1,2.92314,2.02691
dynamic,1,1000,1,3.75073,2.7618
dynamic,1,10000,1,2.94073,3.02666
dynamic,1,100000,1,3.33874,4.34477
dynamic,1,1000000,1,3.82332,3.04191
static,1,1000,1,3.42289,3.64496
static,1,10000,1,3.6703,3.28419
static,1,100000,1,4.36212,3.74046
static,1,1000000,1,3.71461,3.26573
guided,1,1000,1,3.79407,3.38141
guided,1,10000,1,3.52811,6.23981
guided,1,100000,1,6.51729,6.68828
guided,1,1000000,1,5.14584,3.39297
dynamic,2,1000,1,3.36966,3.17373
dynamic,2,10000,1,4.47246,3.60291
dynamic,2,100000,1,3.64524,4.00484
dynamic,2,1000000,1,3.75098,3.68008
static,2,1000,1,3.71954,3.77294
static,2,10000,1,3.73711,4.66725
static,2,100000,1,4.16732,4.68338
static,2,1000000,1,4.70519,4.46543
guided,2,1000,1,4.51031,3.76991
guided,2,10000,1,3.70395,4.04004
guided,2,100000,1,4.25944,3.6344
guided,2,1000000,1,5.21719,4.85927
dynamic,4,1000,1,4.24458,4.53278
dynamic,4,10000,1,3.49443,4.15612
dynamic,4,100000,1,4.45811,3.91105
dynamic,4,1000000,1,5.11096,5.64932
static,4,1000,1,5.53342,5.47342
static,4,10000,1,3.91535,4.08368
static,4,100000,1,3.91525,3.37362
static,4,1000000,1,4.0564,3.38379
guided,4,1000,1,3.46625,3.91556
guided,4,10000,1,3.72674,3.50865
guided,4,100000,1,3.5393,5.784
guided,4,1000000,1,5.02278,4.76125
dynamic,8,1000,1,3.82647,3.2708
dynamic,8,10000,1,5.95635,3.23966
dynamic,8,100000,1,3.76891,3.48481
dynamic,8,1000000,1,3.97787,4.08614
static,8,1000,1,5.56639,3.82357
static,8,10000,1,3.62367,3.2732
static,8,100000,1,4.44126,3.4634
static,8,1000000,1,3.736,3.70295
guided,8,1000,1,3.57668,3.23129
guided,8,10000,1,3.74895,3.1615
guided,8,100000,1,3.58304,4.99732
guided,8,1000000,1,4.60417,4.23379
dynamic,16,1000,1,5.38354,4.22403
dynamic,16,10000,1,5.07481,3.30103
dynamic,16,100000,1,3.36908,3.11408
dynamic,16,1000000,1,6.08299,4.10161
static,16,1000,1,3.71011,3.41792
static,16,10000,1,3.41349,4.8924
static,16,100000,1,3.54278,3.14105
static,16,1000000,1,3.66454,10.9468
guided,16,1000,1,3.91582,3.79658
guided,16,10000,1,3.409,3.27789
guided,16,100000,1,5.12403,10.0004
guided,16,1000000,1,5.49185,3.44696
dynamic,32,1000,1,4.34915,3.04082
dynamic,32,10000,1,4.7951,3.23097
dynamic,32,100000,1,4.11088,5.49837
dynamic,32,1000000,1,3.51554,3.25217
static,32,1000,1,3.74421,4.63074
