schedule_type,threads_number,block_sizes(bytes),compile_time(s),compile_time(s)_std,decompile_time(s),decompile_time(s)_std
dynamic,1,1000,1.1766865047369242,4.152075999999999,0.5731831618863205,3.592938
dynamic,1,10000,0.5278540517699944,3.5931979999999997,4.570967315957312,6.18238
dynamic,1,100000,0.6521189960965713,4.022108,2.522295215915457,5.623044
dynamic,1,1000000,0.5039585890427903,4.179888,0.4629322497623166,3.8415620000000006
dynamic,2,1000,0.5849332706215299,3.9198840000000006,0.5369577994405147,3.9352359999999997
dynamic,2,10000,0.308915783669271,4.74547,2.445238579096118,5.5393799999999995
dynamic,2,100000,1.5101133262507158,4.851878,2.031980094594925,5.106876
dynamic,2,1000000,0.916775231248096,4.340734,1.0560670421284817,4.615088
dynamic,4,1000,0.9177172338089766,4.507645999999999,2.785288514683892,7.037584
dynamic,4,10000,2.8101472423967397,5.021710000000001,0.45825681050040046,4.065227999999999
dynamic,4,100000,0.8963729545116809,4.362556,1.416160755094562,4.595408
dynamic,4,1000000,2.5230769188572117,6.052178,2.4354564982914395,5.594882
dynamic,8,1000,1.3290968255172382,4.68349,1.206198493731442,4.737724
dynamic,8,10000,1.3765507418907594,4.9791799999999995,3.821895393237497,5.2317599999999995
dynamic,8,100000,1.658209737373412,5.532292,2.3372780716294757,5.016541999999999
dynamic,8,1000000,1.275867528754455,4.885046,1.5790607089089388,4.523822
dynamic,16,1000,2.5180981946302254,5.048830000000001,1.9109048941980342,5.1424579999999995
dynamic,16,10000,1.0765276368816545,4.437012,1.6174633137570695,4.81768
dynamic,16,100000,0.3451675352926459,3.5534019999999997,0.3157325527562845,3.3561679999999994
dynamic,16,1000000,1.4858183682906874,5.0889299999999995,1.745413716939339,4.5733760000000006
dynamic,32,1000,0.33613834440599,3.961806,0.8423409503461171,3.893956
dynamic,32,10000,1.0084608595379394,4.923342,0.8513527917203302,4.321282
dynamic,32,100000,0.5554053768915098,4.270524,0.7239200956804557,4.326596
dynamic,32,1000000,0.8541179918664634,4.413864,1.0571030745769308,4.719303999999999
guided,1,1000,0.15951720612523285,4.025650000000001,0.44392764547840435,3.738888
guided,1,10000,0.1959130601823167,3.80052,1.2091633931442018,5.003122
guided,1,100000,1.1911333057303028,4.517412,1.2580075090912612,4.527896
guided,1,1000000,0.835183989352047,4.647752,0.4179493530560851,3.570388
guided,2,1000,1.3555363953542523,5.295184,0.5348593318340812,3.88776
guided,2,10000,0.3362148247028974,4.27844,1.5435849509113515,4.9947859999999995
guided,2,100000,0.41744690564190295,4.146974,1.583640708535241,4.683496
guided,2,1000000,0.569390920545806,4.329610000000001,0.6724129446032403,4.437538
guided,4,1000,1.0107446903892197,4.70976,4.073289442892563,6.194554
guided,4,10000,1.2852814734251794,4.6450759999999995,2.3576285926498257,4.773256
guided,4,100000,1.3809837358310921,4.399556,1.0924998860091475,4.581176
guided,4,1000000,1.0571371825028195,5.491656000000001,0.4580439561548651,5.268572000000001
guided,8,1000,0.8087139187190981,4.080536,0.8135836783515268,3.6437740000000005
guided,8,10000,1.7584698713370097,4.3388100000000005,0.4410983058230894,3.5859499999999995
guided,8,100000,0.37703252760206235,3.664132,0.6992453568169048,3.866516
guided,8,1000000,1.0872552773291102,4.584244,1.2482016200998935,4.4731819999999995
guided,16,1000,0.4487954363292924,3.9713679999999996,0.3708181033471801,3.5558280000000004
guided,16,10000,0.40717530466618446,3.813904,1.1093880081513408,4.201856
guided,16,100000,0.6335803749880512,4.2232520000000005,2.7662591116795263,5.267110000000001
guided,16,1000000,1.307051280375028,4.318346,0.9185955711955072,4.668898
guided,32,1000,0.6359299591149956,4.28207,0.637668303171798,3.739438
guided,32,10000,1.7148259605365204,4.908534,0.4613086326636431,3.7536719999999995
guided,32,100000,0.8564365532834289,4.27823,1.7091036406022897,4.370818
guided,32,1000000,0.5950522100370688,4.409262,1.3043871897753367,4.43549
sequential,0,0,2.7245931087742252,4.639756,1.5313325156803796,2.852966
static,1,1000,1.4275020365239415,4.6707160000000005,1.0621650420862097,4.484334
static,1,10000,1.5709804876668583,5.103186,0.4884340964040082,3.9518340000000003
static,1,100000,0.7578760466065674,4.801558,0.7525222320636114,4.44512
static,1,1000000,0.9807185043528039,4.522836,0.610582802697554,4.1613
static,2,1000,2.9143823909483806,5.598588,1.3794312922976626,4.6501280000000005
static,2,10000,0.8377052269444186,4.2716899999999995,1.1622606787506837,4.901478
static,2,100000,1.0072416978957932,4.244906,0.87930890870615,4.801466
static,2,1000000,0.5054769916920056,4.663836,2.157770931361807,5.683834
static,4,1000,4.054224961946487,6.734098,3.453532652729665,5.812728
static,4,10000,1.7774426967612766,4.7117379999999995,1.7555302090821452,5.677200000000001
static,4,100000,1.5282429045737458,4.434635999999999,1.0061950078041533,4.1192459999999995
static,4,1000000,0.848011512551569,4.674038,2.1224617326774116,5.244926
static,8,1000,1.3811656344081256,5.050308,1.8234868664100654,4.522152
static,8,10000,0.7543288896297152,4.566156,1.979612421038522,4.919184
static,8,100000,1.5794479772597767,5.706868,0.730610205739011,4.043775999999999
static,8,1000000,1.8998678403299532,4.926038,0.6786975947577835,4.321334
static,16,1000,0.7979823008814169,4.281852,0.4900032444586464,3.470326
static,16,10000,0.6702216290675793,4.2070419999999995,0.8660224023949956,4.51094
static,16,100000,1.0391793292449572,4.184756,0.6660249732930442,3.5854500000000002
static,16,1000000,0.5594641127722136,4.053786,3.369445103841284,5.74157
static,32,1000,0.7885311963391174,4.1615899999999995,0.7036079109632014,4.408042
static,32,10000,0.9884666371304598,4.660608000000001,2.697786144383947,5.238286
static,32,100000,1.1972456153897575,5.548372,1.1510535100637158,4.590704000000001
static,32,1000000,1.0481411668043574,4.55479,1.371749655268774,4.727826
