schedule_type,threads_number,block_sizes(bytes),iteration,compile_time(s),decompile_time(s)
sequential,0,0,1,3.25392,2.665
dynamic,1,1000,1,4.0606,3.88783
dynamic,1,10000,1,3.8779,3.64369
dynamic,1,100000,1,3.77988,3.59396
dynamic,1,1000000,1,4.09645,3.40125
static,1,1000,1,3.53048,5.06679
static,1,10000,1,4.1269,3.89898
static,1,100000,1,3.86838,3.62972
static,1,1000000,1,4.32106,4.17148
guided,1,1000,1,3.91951,7.91419
guided,1,10000,1,7.87318,10.0215
guided,1,100000,1,5.16935,3.73002
guided,1,1000000,1,9.72334,6.16604
dynamic,2,1000,1,5.46934,7.76721
dynamic,2,10000,1,6.09981,5.15998
dynamic,2,100000,1,4.28356,4.05359
dynamic,2,1000000,1,4.475,4.26302
static,2,1000,1,4.24146,4.01657
static,2,10000,1,4.27702,3.91484
static,2,100000,1,4.50823,4.12956
static,2,1000000,1,4.50254,4.075
guided,2,1000,1,5.21894,7.51332
guided,2,10000,1,8.75061,5.19
guided,2,100000,1,3.89048,4.00823
guided,2,1000000,1,3.56925,4.01156
dynamic,4,1000,1,4.58643,4.76467
dynamic,4,10000,1,4.62386,5.98331
dynamic,4,100000,1,12.4779,4.20391
dynamic,4,1000000,1,4.10552,4.0169
static,4,1000,1,3.80926,3.96611
static,4,10000,1,4.54955,8.61744
static,4,100000,1,6.08975,4.11988
static,4,1000000,1,4.11574,3.72006
guided,4,1000,1,5.23649,3.76168
guided,4,10000,1,5.96111,4.61404
guided,4,100000,1,7.69578,6.86862
guided,4,1000000,1,8.47821,5.82961
dynamic,8,1000,1,5.94229,9.53469
dynamic,8,10000,1,3.49386,3.10686
dynamic,8,100000,1,4.31354,7.06071
dynamic,8,1000000,1,3.51799,11.176
static,8,1000,1,12.9866,14.7007
static,8,10000,1,6.53753,6.33869
static,8,100000,1,3.40133,4.51933
static,8,1000000,1,3.76896,3.19722
guided,8,1000,1,3.12818,5.02541
guided,8,10000,1,11.6092,9.79789
guided,8,100000,1,4.89648,4.41766
guided,8,1000000,1,4.4701,4.59603
dynamic,16,1000,1,3.96292,4.13757
dynamic,16,10000,1,4.2528,3.94809
dynamic,16,100000,1,4.40838,4.03061
dynamic,16,1000000,1,4.39495,3.75385
static,16,1000,1,4.41962,4.16021
static,16,10000,1,4.19035,3.97527
static,16,100000,1,4.03799,4.27733
static,16,1000000,1,4.19822,4.0097
guided,16,1000,1,3.91641,3.81157
guided,16,10000,1,4.07521,3.90549
guided,16,100000,1,4.54316,3.73073
guided,16,1000000,1,4.16086,3.91191
dynamic,32,1000,1,3.85619,4.07843
dynamic,32,10000,1,6.23533,5.90238
dynamic,32,100000,1,12.1307,7.40145
dynamic,32,1000000,1,4.53317,4.60398
static,32,1000,1,5.9169,10.6429
static,32,10000,1,6.39056,5.60149
static,32,100000,1,7.75489,4.96149
static,32,1000000,1,5.18257,4.52958
guided,32,1000,1,4.80906,4.47867
guided,32,10000,1,4.68623,4.20934
guided,32,100000,1,4.72121,4.15596
guided,32,1000000,1,4.54652,4.04054
sequential,0,0,2,4.77606,3.53911
dynamic,1,1000,2,5.18375,7.12346
dynamic,1,10000,2,8.00335,4.73513
dynamic,1,100000,2,4.22732,3.54413
dynamic,1,1000000,2,4.40087,3.7569
static,1,1000,2,3.91392,3.68826
static,1,10000,2,5.68176,3.55961
static,1,100000,2,5.98606,20.6581
static,1,1000000,2,5.30587,10.4195
guided,1,1000,2,4.22336,3.73534
guided,1,10000,2,5.33414,5.53468
guided,1,100000,2,5.22652,4.16943
guided,1,1000000,2,4.66928,5.24342
dynamic,2,1000,2,5.77026,5.82426
dynamic,2,10000,2,4.92094,4.12328
dynamic,2,100000,2,4.44168,6.14189
dynamic,2,1000000,2,4.92169,5.00524
static,2,1000,2,10.5327,11.9792
static,2,10000,2,7.18961,7.71267
static,2,100000,2,10.4004,14.9751
static,2,1000000,2,6.00532,8.87358
guided,2,1000,2,6.57114,17.4282
guided,2,10000,2,12.7421,6.4697
guided,2,100000,2,8.39049,6.6195
guided,2,1000000,2,5.91569,7.89985
dynamic,4,1000,2,7.68129,9.87456
dynamic,4,10000,2,6.27115,9.92845
