schedule_type,threads_number,block_sizes(bytes),compile_time(s),compile_time(s)_std,decompile_time(s),decompile_time(s)_std
dynamic,1,1000,6.0430449346087105,7.49735,3.539858582926725,6.960658
dynamic,1,10000,2.4324059031173237,6.500752,5.0971741729874225,7.441458
dynamic,1,100000,10.062566506484318,10.686838,5.0887839957862235,7.500432000000001
dynamic,1,1000000,2.6231205661253925,5.966414,3.853862088104607,5.949974
dynamic,2,1000,2.5747496638838503,7.097047999999999,1.9754339274270853,6.098766
dynamic,2,10000,10.868314507340594,10.793942,8.329457143024388,8.978916
dynamic,2,100000,7.010702425899989,7.297592,6.726132066227216,7.602413999999999
dynamic,2,1000000,16.330228741696487,11.684704,9.82111992345985,11.114086
dynamic,4,1000,3.489661351026772,8.49268,3.8686336080417334,8.779392
dynamic,4,10000,5.267235338141823,8.551172,2.208178301956162,7.345814
dynamic,4,100000,2.939758099874886,7.472956000000001,3.110894101776851,6.379458
dynamic,4,1000000,2.2193476483034376,5.924794,1.5224334658861123,5.4226
dynamic,8,1000,1.855054616815904,6.013248,2.411336658198104,6.271108
dynamic,8,10000,3.3307812935586156,7.025238,2.340120665173059,5.157808
dynamic,8,100000,1.9174631528454467,5.4669620000000005,2.1815888878819494,6.122476000000001
dynamic,8,1000000,3.691855615998546,7.523254,4.008346959961176,9.395816
dynamic,16,1000,4.383516644261773,7.049798,1.7227516389834026,5.686418
dynamic,16,10000,2.904543520236872,6.93356,1.7060913116038077,5.1814540000000004
dynamic,16,100000,1.50048938928271,5.23808,2.512684281257794,6.348534
dynamic,16,1000000,2.484961210991029,6.4352339999999995,3.3265099790471093,6.836650000000001
dynamic,32,1000,2.7930432986207,5.514942,2.4096212278903923,5.140300000000001
dynamic,32,10000,5.38205440330456,7.792644,5.225546554894521,7.014188
dynamic,32,100000,5.352047515692475,7.767864,3.7880344204283576,6.973380000000001
dynamic,32,1000000,4.680880933355387,6.55552,5.01591358737369,6.780970000000001
guided,1,1000,5.947865706854014,8.584012,2.04271749208744,6.365296
guided,1,10000,1.744638628527409,6.15428,2.3129060924775997,6.474222
guided,1,100000,2.386436747196539,5.960658,5.716437717969994,6.538884
guided,1,1000000,2.7257662463663315,6.784896000000001,3.387292375619501,6.247024000000001
guided,2,1000,8.792827404674789,10.36505,6.352607035893217,13.450364000000002
guided,2,10000,4.459593481374731,10.322718,1.3696747274553907,6.5378039999999995
guided,2,100000,6.123895874238882,10.209261999999999,3.00218400525684,7.4293819999999995
guided,2,1000000,2.2878336486007895,6.542568,7.699037893446167,10.369221999999999
guided,4,1000,2.1669227952629044,5.828614,1.7470167589837255,5.879898
guided,4,10000,2.122113515465183,6.398002,1.4774360778828979,4.615206
guided,4,100000,1.9884000164881315,6.072172,2.119572701175876,5.685472
guided,4,1000000,2.31173650216239,5.881756,1.0109839631121753,5.223377999999999
guided,8,1000,2.3154972800782985,5.398899999999999,4.281758320336402,7.574878
guided,8,10000,3.3871352808649373,7.396956,2.771330830463949,5.967656
guided,8,100000,10.277892286164514,10.00887,1.4371577826286157,5.075978
guided,8,1000000,1.6506480727974697,5.293446,1.4725517595147548,5.10506
guided,16,1000,1.7043832356515363,5.122102,1.8987055436612594,6.173804
guided,16,10000,2.2568602552373505,5.912418,2.3356407005188102,6.724008
guided,16,100000,2.016340739019573,5.420104,1.9066932176860545,5.729008
guided,16,1000000,3.3059537612117325,6.618971999999999,1.7001356122027442,4.497276
guided,32,1000,2.5788438496872974,5.884131999999999,2.8545462822312055,6.579079999999999
guided,32,10000,5.033633464347598,8.03301,6.13073000486239,9.355852
guided,32,100000,4.03247130154946,6.779872,1.3620204355588794,4.854666
guided,32,1000000,3.919799106041023,7.492341999999999,6.85434795883022,9.167062
sequential,0,0,6.19582818943521,7.172320000000001,4.259898822540273,4.192114
static,1,1000,4.672932514847608,5.986008,4.174141821191513,6.725118
static,1,10000,4.451919916578689,7.428023999999999,4.8436547213153,7.079782
static,1,100000,2.7761750216926164,7.007147999999999,7.3049987391703235,9.857816
static,1,1000000,3.9365859206449434,7.138917999999999,5.602789789704769,10.180598
static,2,1000,3.5780702864365312,8.099444,4.219065465997179,8.361218
static,2,10000,4.852165049001321,8.63346,4.238388471227006,8.135244
static,2,100000,9.277073867641672,10.750026,6.241939584398426,9.798055999999999
static,2,1000000,8.566919215206829,8.736654,10.118522586535546,10.803756
static,4,1000,2.5491322489761097,5.694768,2.489963216019466,5.826574
static,4,10000,1.9231233385381188,5.974734,4.028925367702906,7.960552
static,4,100000,1.909691494003678,7.180338000000001,2.0712025518113863,5.936406
static,4,1000000,3.268873763783178,6.906219999999999,2.286569869312985,6.59799
static,8,1000,4.235458404963977,9.698494,8.357882994528579,11.404143999999999
static,8,10000,1.8616214262975168,7.0793099999999995,5.241135679996274,8.264413999999999
static,8,100000,7.5293759369518805,8.279530000000001,7.403193860149146,8.43817
static,8,1000000,3.9976918993776898,7.68924,5.00788702537108,8.149536000000001
static,16,1000,7.290067730256008,8.749227999999999,3.6153288209829544,7.420516000000001
static,16,10000,3.4421580202004094,7.204596,1.6653620182050506,5.308336
static,16,100000,1.776268540654819,5.120288,1.672472983868499,4.492518
static,16,1000000,2.2600523026536354,5.359616,2.5836272898543244,5.975034
static,32,1000,6.384560011580281,7.146772,3.8261322158323283,7.304724
static,32,10000,4.078950897271259,7.1872,4.496953233687226,7.814832000000001
static,32,100000,4.4949730756334905,9.140922,1.7055776922732075,6.024476
static,32,1000000,1.967149520135671,6.853262000000001,2.829674875894755,6.144002
